learning_rate,max_depth,subsample
0.1,7,0.8
0.1,7,0.8
0.1,10,0.8
0.05,7,0.5
0.1,7,0.8
0.1,10,0.5
0.1,10,0.8
0.1,7,0.5
0.1,10,0.8
0.1,10,0.8
0.1,7,0.8
0.1,10,0.5
0.1,10,0.5
0.1,10,0.8
0.05,15,0.5
0.1,7,0.8
0.05,7,0.5
0.1,7,0.8
0.1,7,0.8
0.1,10,0.8
0.1,7,0.8
0.1,7,0.8
0.1,7,0.8
0.1,7,0.8
0.05,10,0.5
0.1,7,0.8
0.05,10,0.8
0.1,7,0.8
0.1,7,0.8
0.1,15,0.8
0.1,10,0.8
0.1,7,0.8
0.1,7,0.8
0.05,15,0.8
0.1,10,0.8
0.1,15,0.8
0.1,7,0.8
0.1,7,0.8
0.1,10,0.8
0.1,3,0.5
0.1,3,0.8
0.1,10,0.8
0.1,7,0.5
0.1,10,0.5
0.1,15,0.5
0.1,15,0.8
0.1,10,0.8
0.1,10,0.5
0.1,15,0.5
0.1,7,0.8
0.1,15,0.8
0.1,7,0.8
0.1,15,0.5
0.1,7,0.5
0.1,7,0.8
0.05,15,0.5
0.1,7,0.8
0.1,15,0.8
0.1,3,0.5
0.1,15,0.8
